combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
BRISK+BRISK 2,0,0.3389665022914432,0.1902564656650035,264832,95564,58435,0.22064931730304496,0.6114750324389938,21.201124604843617,11.203122354623334,0.5284211363044329,8.399999618530273,72.0,20.4608851036626,0.9650848945526267,338095,508.1304347826087,0.5709924143554833,1.013202393932085,2.325819113521486,3.7249388291445142,0.16074270557029177,0.03708388714354761,0.00030803456832377855,0.7067954665971963,0.32022744175117346,0.7077906287016109,0.6927658389272169,0.10168201988430874,0.6961771731993831,0.9574074049302413,0.7377568740023142,0.9538922250943216,0.6752669268710493,0.028264178378859705
BRISK+ORB 2,0,0.33965364497794853,0.18978301406413856,266283,95631,51800,0.19452987986465528,0.5416653595591387,21.341191819156958,11.356518147921843,0.5321407653403708,8.399999618530273,72.0,20.59729852909287,0.9651428422382516,337835,450.4347826086956,0.6019248177137667,1.0042311458426103,2.7356867177093522,3.4918751854230274,0.16774131274131274,0.032867287810337126,0.0003861003861003861,0.6346813062117611,0.28479139313506135,0.6836558616639096,0.6047724769595105,0.08852241016363084,0.6778795421587209,0.902943887397894,0.6770686648815664,0.924837793573309,0.7957534542440442,0.04640524426210621
BRISK+SIFT 2,0,0.3389665022914432,0.1902564656650035,252374,95564,56196,0.2226695301417737,0.5880457075886317,20.898199303991134,11.803643875502836,0.5648163128221568,8.399999618530273,72.0,20.060791170345066,0.9599291727739365,338095,488.6608695652174,0.5798273933079878,1.0244153654849038,2.128731465679325,5.371813261270971,0.20916079436258808,0.0671978888475041,0.000996512207274539,0.6593340914958379,0.3182941660816527,0.6524482239812608,0.657225892288871,0.10459627558195123,0.6221665662590447,0.9580157632656671,0.763171817032784,0.9560724532913539,0.5845293084774581,0.027037898808263967
FAST+BRISK 2,0,0.3518226086956522,0.1948602259640482,270725,101149,54145,0.2,0.5352994097816093,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,470.82608695652175,0.5987038707205422,1.0081951248766339,2.4439678272441387,3.9162360328746884,0.1677347862221812,0.04171022255055869,0.00036937852063902485,0.6316989305414826,0.2882980569814241,0.6686581254864903,0.6117398224395343,0.08104668084725304,0.6903398501644242,0.8978838589717755,0.6681467710638446,0.9035311138547552,0.7040854194837195,0.03558446963255141
FAST+ORB 2,0,0.35329739130434784,0.19381118622576504,269485,101573,69546,0.25807002245022914,0.6846898289899875,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,604.7478260869565,0.542426049387155,1.0281617916126222,2.5410631642892776,4.283733788522552,0.1791907514450867,0.046622260979275285,0.0006614327207891179,0.619115691616461,0.3716701755400217,0.719598975793983,0.6006232714154142,0.113808208407202,0.7474376695114967,0.8921660488889402,0.807278209525075,0.9298416875295258,0.5395304787453452,0.012375279726971323
FAST+SIFT 2,0,0.35136695652173916,0.19480784544586233,256670,101018,79891,0.31125959403124637,0.7908590548219129,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,694.704347826087,0.5424043330263915,1.04372080103066,1.9178893955389875,4.858094050726614,0.12634714798913518,0.06241477383410605,0.0007259891602308145,0.7521609263063285,0.4283797243371475,0.7418214756916167,0.7576890546864173,0.13970488252174892,0.6690415036813729,0.9672719451682328,0.9012907417784918,0.9687850393045873,0.5027292029990194,0.01806057281864772
GFTT+BRISK 2,0,0.3627234782608696,0.20602329557197283,271677,104283,56060,0.20634797940201047,0.5375756355302398,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343603,487.4782608695652,0.5908025664815134,1.0075843971810567,2.410506745742291,3.798713177780968,0.1630039243667499,0.038965389046551606,0.0005173028897609704,0.6495331508223616,0.28665871168373835,0.6857587055897342,0.633871704465403,0.07888615571239135,0.7085998818244879,0.9004165031492297,0.6533198560774635,0.8989387685211607,0.7277863866520435,-0.002492165914635124
GFTT+ORB 2,0,0.3640973913043478,0.2054404834838165,266496,104678,71624,0.26876200768491837,0.6842316437073692,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343171,622.8173913043478,0.5409991616978963,1.050355510677022,2.4935500521405047,4.335322106147935,0.1826482743214565,0.048117044908741594,0.0007958226292862728,0.6315130253327059,0.3696591108051474,0.7259353380505804,0.6109717695421564,0.1083025314023741,0.7491257889534333,0.8892663040750212,0.7957214182853908,0.9266699569570035,0.5360336647988765,-0.007805547036981157
GFTT+SIFT 2,0,0.3626191304347826,0.20558201405665738,263620,104253,78840,0.29906683863136335,0.7562372305832926,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343877,685.5652173913044,0.5497978137950829,1.061070813851237,1.840264202531773,3.9661899704119565,0.120636732623034,0.045884227296866704,0.0003297818366311517,0.7329037687163258,0.40718434371349144,0.7542238667734033,0.7517081218452637,0.121883232152594,0.7270860271135172,0.9468686404521397,0.854906707674752,0.9471283458869723,0.6137253000011458,0.034637442567253415
ORB+BRISK 2,0,0.32656802706407045,0.19760989147747843,232022,81690,46851,0.20192481747420504,0.573521850899743,51.8953094080848,18.03248973314752,0.3474782198781578,31.0,111.0786361694336,49.51748693577368,0.9541803970448883,299751,407.4,0.5131157119768983,1.0236234653691139,2.375398147312485,4.221849652188155,0.2001024524556573,0.04371568213359078,0.0006189835862628332,0.6601693075128051,0.2543178439088999,0.6260813506990368,0.6634110635984828,0.07522785417801314,0.5975900773137318,0.9487840053366298,0.7280264740887047,0.9503218896980282,0.5746147186626331,0.014494888354562169
